nama_tempat,alamat,latitude,longitude,url_tempat,id_review,rating_bintang,nama_reviewer,url_review,isi_review,tanggal_review,rating_layanan,rating_makanan,rating_suasana,panjang_review,sentimen
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChZDSUhNMG9nS0VORE9zUGpZeGFlakNREAE,4,Gierry Helvan,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VORE9zUGpZeGFlakNREAE!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKENDOsPjYxaejCQ%7CCgwIoJbSwQYQiKaJggM%7C?hl=id,"Secara makanan worth the price ya, tapi yang kurang pelayanannya, bawang putih gorengnya habis dan tidak direfill padahal waktu makan masih lama, sangat disayangkan krn bawang putih gorengnya lah yg menjadi penyempurna saus dan bumbu ala jepangnya. Refill makanan juga kurang gercep, padahal rasa makanannya tidak mengecewakan.",2025-05-26,3.0,5.0,4.0,327,positif
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChdDSUhNMG9nS0VJQ0FnSUM3ek9qTmdRRRAB,4,M Ramadhandi sultan Arkas,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUM3ek9qTmdRRRAB!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEICAgIC7zOjNgQE%7CCgwI5YWxwQYQ6LnWuQI%7C?hl=id,"Visit ke 2 ada penurunan kualitas, Opsi dagingnya sedikit dan sebagian besar lemak padahal udah nunggu yg baru datang, 125orang sebelum pajak, Total makan berdua setelah pajak 288.750, makanan lengkap daging sapi, ayam, kulit, udang, kerang, kopi, eskrim dll, sidedish nya juga beragam, mungkin harus ditambah varian saosnya jangan hanya 3 rasa",2025-05-20,4.0,4.0,4.0,345,positif
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChZDSUhNMG9nS0VJWFUxX0t6ejVXRElREAE,5,siapsiap reviww,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJWFUxX0t6ejVXRElREAE!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEIXU1_Kzz5WDIQ%7CCgsI7uuswQYQ8PTsbQ%7C?hl=id,"pelayanan sungguh ramah,gesit untuk makanan bervariasi dari makanan berat nasi goreng, mie kuning dll dari disert nya bervariasi juga ada sop buah yg bisa kita racik sendiri untuk daging nya selalu penuh selalu di revil tadi makan kena harga di 125k rasanya mantap ada icecrim juga yg bisa kita ambil terus menerus",2025-05-19,5.0,5.0,5.0,319,positif
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChdDSUhNMG9nS0VKS2Q2ZHV2aW9PdGxnRRAB,4,Kumpulan Orang Soleh Channel,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VKS2Q2ZHV2aW9PdGxnRRAB!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEJKd6duvioOtlgE%7CCgwItPWXwQYQkIGDxwI%7C?hl=id,Jos,2025-05-15,4.0,4.0,4.0,3,positif
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChdDSUhNMG9nS0VNdm9zclM0cnNuX3V3RRAB,5,Gareng Lampung,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VNdm9zclM0cnNuX3V3RRAB!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEMvosrS4rsn_uwE%7CCgsIndiSwQYQyMXPBQ%7C?hl=id,Sipp,2025-05-14,5.0,5.0,5.0,4,positif
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChdDSUhNMG9nS0VOcmx4dnFBeWR1UWtBRRAB,4,Denis Mudlofar,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VOcmx4dnFBeWR1UWtBRRAB!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKENrlxvqAyduQkAE%7CCgsIqeWLwQYQoO7_PA%7C?hl=id,"Restonya bersih, pelayanannya ramah. Sayang menunya gk lengkap saat saya datang. Udang gk dikeluarkan, alasannya masih dalam perjalanan, sampai 2 jam pun masih belum ada. Daging sapinya juga lama dikeluarkannya. Gelas sering habis di jam sibuk. Kompor sering gak nyala, harus manggil mbakmas nya untuk bantu menyalakan. Tapi overall bisa menjadi pilihan AYCA yang recomended untuk keluarga",2025-05-13,4.0,4.0,5.0,390,positif
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChZDSUhNMG9nS0VQbnV4ZlR6d3QyOFZREAE,5,Rizka Rachmy,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VQbnV4ZlR6d3QyOFZREAE!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEPnuxfTzwt28VQ%7CCgsI_ZqHwQYQ-NHmFg%7C?hl=id,"Ayce suki grill , menu variatif , pelayanan oke",2025-05-12,5.0,5.0,5.0,47,positif
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChdDSUhNMG9nS0VJQ0FnTUNZMEo2MmhBRRAB,2,mulyawan raul,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNZMEo2MmhBRRAB!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEICAgMCY0J62hAE%7CCgsI4vvHwAYQ-JOUVA%7C?hl=id,"Tempat bagus, tapi karyawan kurang ramah, harus bisa berbenah diri disisi management pelayanan, karna klo masuk dilampung restoran dengan konsep yg sama all u can eat bisa ditinggal customer",2025-04-30,2.0,4.0,4.0,190,negatif
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChZDSUhNMG9nS0VJQ0FnTURvOU5IU1hREAE,5,Evi Via,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTURvOU5IU1hREAE!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEICAgMDo9NHSXQ%7CCgwItdadwAYQgJ79zQE%7C?hl=id,"All you can eat di sini perorgnya 140.000 termasuk pajak Utk harga segitu termasuk worth it. Banyak proteinnya, ada daging sapi, ayam, udang, kerang, nasi bakar, spaghetty, mie goreng, nasgor, sushi, es buah, rujak, es cream, goreng2an, dan kue kue manis Cuma ada bbrp rasanya yg kurang Seperti sushi, kimchi, kue kue Tapi selebihnya lumayan kok..patut dicoba",2025-04-22,5.0,5.0,5.0,359,positif
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChdDSUhNMG9nS0VJQ0FnTUNvanNtWnpBRRAB,5,Cahya salsabila,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNvanNtWnpBRRAB!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEICAgMCojsmZzAE%7CCgwI-cOBwAYQkP_lxQE%7C?hl=id,Seruuuuu pol,2025-04-17,5.0,5.0,5.0,12,positif
