"address","categories/0","categoryName","cid","city","countryCode","fid","imageUrl","isAdvertisement","isLocalGuide","language","likesCount","location/lat","location/lng","name","neighborhood","originalLanguage","permanentlyClosed","placeId","postalCode","price","publishAt","publishedAtDate","rating","responseFromOwnerDate","responseFromOwnerText","reviewContext/Jenis makanan","reviewContext/Layanan","reviewContext/Tarif per orang","reviewContext/Tempat parkir","reviewContext/Tingkat kebisingan","reviewContext/Waktu tunggu","reviewDetailedRating/Layanan","reviewDetailedRating/Makanan","reviewDetailedRating/Suasana","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewImageUrls/9","reviewImageUrls/10","reviewImageUrls/11","reviewImageUrls/12","reviewOrigin","reviewUrl","reviewerId","reviewerNumberOfReviews","reviewerPhotoUrl","reviewerUrl","reviewsCount","scrapedAt","searchString","stars","state","street","temporarilyClosed","text","textTranslated","title","totalScore","translatedLanguage","url","visitedIn"
"Jl. Diponegoro No.1, Kupang Kota, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35225, Indonesia","Restoran Padang","Restoran Padang","6080063828653653936","Kota Bandar Lampung","ID","0x2e40db00e03bfd01:0x5460b9d6ae9a3fb0","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noS-_mhjZeORXW6iMjTLcZWv2C4mkII857cED7can2tlVbNvbk_yYlwD415VhtLdU8XJYo4VzFRkShOPP0LUmk-gCb8MXEXKGMz7UEYpZWChBoVys3mMXmzGDHScVYqRaJjEHYK4A=w426-h240-k-no","false","true","id","0","-5.4400267","105.2652723","alepunya","Kupang Kota, Kecamatan Teluk Betung Utara","id","false","ChIJAf074ADbQC4RsD-arta5YFQ","35225",,"seminggu lalu","2025-05-21T16:11:04.493Z",,,,"Makan siang","Makan di tempat","Rp 25.000–50.000",,,,"5","5","3","ChZDSUhNMG9nS0VPeWV0cWptcTZuOFZnEAE",,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VPeWV0cWptcTZuOFZnEAE!2m1!1s0x0:0x5460b9d6ae9a3fb0!3m1!1s2@1:CIHM0ogKEOyetqjmq6n8Vg%7CCgwImPa3wQYQiIm36wE%7C?hl=id","105263581824707304335","492","https://lh3.googleusercontent.com/a/ACg8ocJyhiM3XdkP0M3U5QikwDSxLMG51tnPke20C3yzU4peh_7IXi0=s1920-c-rp-mo-ba5-br100","https://www.google.com/maps/contrib/105263581824707304335?hl=id","710","2025-06-03T09:23:27.960Z","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Begadang%20Resto%20Convention%20Hall&query_place_id=ChIJAf074ADbQC4RsD-arta5YFQ","5","Lampung","Jl. Diponegoro No.1","false","Ayam Gorengnya favorit banget
Menu makanan komplit
Tempat makannya luas
Pelayanan cepat (kalau tidak ramai)

Pembayaran tunai, debit, QRIS
Kang parkir 2ribu",,"Begadang Resto Convention Hall","4.7",,"https://www.google.com/maps/search/?api=1&query=Begadang%20Resto%20Convention%20Hall&query_place_id=ChIJAf074ADbQC4RsD-arta5YFQ",
"Jl. Diponegoro No.1, Kupang Kota, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35225, Indonesia","Restoran Padang","Restoran Padang","6080063828653653936","Kota Bandar Lampung","ID","0x2e40db00e03bfd01:0x5460b9d6ae9a3fb0","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noS-_mhjZeORXW6iMjTLcZWv2C4mkII857cED7can2tlVbNvbk_yYlwD415VhtLdU8XJYo4VzFRkShOPP0LUmk-gCb8MXEXKGMz7UEYpZWChBoVys3mMXmzGDHScVYqRaJjEHYK4A=w426-h240-k-no","false","true","id","0","-5.4400267","105.2652723","siti ch","Kupang Kota, Kecamatan Teluk Betung Utara","id","false","ChIJAf074ADbQC4RsD-arta5YFQ","35225",,"seminggu lalu","2025-05-20T13:14:42.023Z",,,,"Makan siang","Makan di tempat","Rp 75.000–100.000",,,,"5","5","4","ChZDSUhNMG9nS0VOTHR0OUhFLW96R0pREAE","https://lh3.googleusercontent.com/geougc-cs/AB3l90BoxmPoGrd_a4ZAYAmU9_rLGff_nIOdxA8UTcs5WYOqqO9QxDTGfP3VQPN7GgFucmh9HQJuru-7d9TkGfmHoQjdu6f47LNQMv6BeXaI8w5HujG7LGiAcoyzFmm7WP4EouzU8wzJ","https://lh3.googleusercontent.com/geougc-cs/AB3l90BTvH8cS3n_ZFtBOEdFWihpsiKbUnx6H37H7-q3dcRUxvbwwKBb2HM_Ih34fZG_rJGs5PXg_NkdwLJlJe8YWlpusXn-DZs_VwhYQuHOUPoE8ucTVoGBkm-yNUB1QWfQmM3b2ECK","https://lh3.googleusercontent.com/geougc-cs/AB3l90B8CiKB_G0sXxvni6R1erhSIE4Jo2I-gw6PVTw4hlF5PmzL2Bx2D5W2Rz3QrBrtiD5q_uwJH3aPqwR2lD0P4nORbn7Md5FniS1NJxPBwvf9Ck7A1nukfro-3UT-llHXGpXsYc4E","https://lh3.googleusercontent.com/geougc-cs/AB3l90A6Jmp9wUyBdseBSpPEyO4r8PeQR3fXUpRKHin_V2F7BRUKJOeR11UTVSU3kbU3yo8U4E5KUGafRk6aG4hiJTsK5nL7p2BO4lY1yMvRPwdD16S-lgl2G7Hssr_W1kXbd0-l2vBkfQ","https://lh3.googleusercontent.com/geougc-cs/AB3l90Bql00BetmfpGY_r1aOrsWmKbQbo7nLxNWoRVWTXOflz6c9wpqGgp_wWyvuo_YuRxBJpOpAfDffD-OxpEdOKXqQgPnhu-1GrmOBQW1w9dgWhQGIuZkA913iVhDF3H7VWCCQuwJq3w","https://lh3.googleusercontent.com/geougc-cs/AB3l90CAkX2sT53r2nDrT4EMvcpIYnNB-meBTI-msQupicoM6YZd3lloq43vUkqoV4Mq8WnjO_HT3PQZEwS3VHtliwDj-jcVtOCrjU6CadE3w9jjyTMOdQMfkuPT1uNubfow3BD82z9U","https://lh3.googleusercontent.com/geougc-cs/AB3l90AM87U1c3O-EeHzBTNUwFUgDtH0eeBjK9y5TfpurV175okf-sicpvZ8rJF3XQy7SfpC1IDn7tkw7Jtmb4zZuY4z3VfGa8rk1NGjS3x9D9nVH22cUlNwT_5djdK-8V8vkEmdqkVn","https://lh3.googleusercontent.com/geougc-cs/AB3l90C96fFZGxT7I4rSDaWqYJ7QNDEWhQs6CSWIik5reZQGDM0opE-NnVh4AeAJZZ2cxPLtiwW1kRgLTQSQ-yPF6o9lXIAZ21oamv5rjERFSaTXYNAsSP0IrC7yvssiSlmUZkgisKpOug","https://lh3.googleusercontent.com/geougc-cs/AB3l90Dkxdp-oQLGZYBvVOlNobnPiuFXDwhd8evsRuUFm5elIYSn0_zUX2HqGvhokEGGz6-haFT1LA28SFXtZnf7ihXm2nk6Pl42R0b34rrg5vGJuXP1_CZBsLZ9SkQ19W_MGxpgfild","https://lh3.googleusercontent.com/geougc-cs/AB3l90BUs_5o1KqlvghzrVhgIPBUj_Xvr3UwzDcBLqr9jg1E1kIPBCCwpZMPKIPUG2UvBTJVMiZWspDynL77PWX_bqT8LtBN-PS0Cxzt5Ho7iOWu7Ob6xMxpa52vS87Mr9wUdGMI4oYg","https://lh3.googleusercontent.com/geougc-cs/AB3l90Ccrx3J1SPS2Lmq4TQ4QRsXkm259jrOh3_RslUm1ZoH7rDHd-ip4kWJNp8ik043FmiFpZTlmiIgbPGH3ixvMJQ76W5r1AOGDutXCEVMZ3e8mPC0XJTlTxbmgIxT3Xo8jDs3lCSRUw",,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VOTHR0OUhFLW96R0pREAE!2m1!1s0x0:0x5460b9d6ae9a3fb0!3m1!1s2@1:CIHM0ogKENLtt9HE-ozGJQ%7CCgsIwoCywQYQ4Ib8Cg%7C?hl=id","112944957590692245987","427","https://lh3.googleusercontent.com/a-/ALV-UjWUcw0-6mg__PN-yMS9kUaKP_vrlZQl0CBkPbiZk2hwsWNgNWnZEA=s1920-c-rp-mo-ba6-br100","https://www.google.com/maps/contrib/112944957590692245987?hl=id","710","2025-06-03T09:23:27.960Z","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Begadang%20Resto%20Convention%20Hall&query_place_id=ChIJAf074ADbQC4RsD-arta5YFQ","5","Lampung","Jl. Diponegoro No.1","false","Resto luas dan nyaman, makanan enak, pelayanan ramah, fasilitas toilet juga bersih",,"Begadang Resto Convention Hall","4.7",,"https://www.google.com/maps/search/?api=1&query=Begadang%20Resto%20Convention%20Hall&query_place_id=ChIJAf074ADbQC4RsD-arta5YFQ",
"Jl. Diponegoro No.1, Kupang Kota, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35225, Indonesia","Restoran Padang","Restoran Padang","6080063828653653936","Kota Bandar Lampung","ID","0x2e40db00e03bfd01:0x5460b9d6ae9a3fb0","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noS-_mhjZeORXW6iMjTLcZWv2C4mkII857cED7can2tlVbNvbk_yYlwD415VhtLdU8XJYo4VzFRkShOPP0LUmk-gCb8MXEXKGMz7UEYpZWChBoVys3mMXmzGDHScVYqRaJjEHYK4A=w426-h240-k-no","false","true","id","0","-5.4400267","105.2652723","Fendy Soloment","Kupang Kota, Kecamatan Teluk Betung Utara","ms","false","ChIJAf074ADbQC4RsD-arta5YFQ","35225",,"2 minggu lalu","2025-05-18T14:11:54.775Z",,,,"Makan malam","Makan di tempat",,,,,"5","5","5","ChZDSUhNMG9nS0VQR1N2OGlRLXRHZ1pBEAE",,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VQR1N2OGlRLXRHZ1pBEAE!2m1!1s0x0:0x5460b9d6ae9a3fb0!3m1!1s2@1:CIHM0ogKEPGSv8iQ-tGgZA%7CCgwIqtWnwQYQgIri8QI%7C?hl=id","102259050399906066315","390","https://lh3.googleusercontent.com/a-/ALV-UjUOm9aXXqN-AXfwBLaI7vEUB10VT78y1CL0qxzm8iCyrEVrTvM=s1920-c-rp-mo-ba6-br100","https://www.google.com/maps/contrib/102259050399906066315?hl=id","710","2025-06-03T09:23:27.960Z","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Begadang%20Resto%20Convention%20Hall&query_place_id=ChIJAf074ADbQC4RsD-arta5YFQ","5","Lampung","Jl. Diponegoro No.1","false","Mantap rasa nasi Padang nya","Nasi Padangnya enak sekali.","Begadang Resto Convention Hall","4.7","id","https://www.google.com/maps/search/?api=1&query=Begadang%20Resto%20Convention%20Hall&query_place_id=ChIJAf074ADbQC4RsD-arta5YFQ",
"Jl. Diponegoro No.1, Kupang Kota, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35225, Indonesia","Restoran Padang","Restoran Padang","6080063828653653936","Kota Bandar Lampung","ID","0x2e40db00e03bfd01:0x5460b9d6ae9a3fb0","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noS-_mhjZeORXW6iMjTLcZWv2C4mkII857cED7can2tlVbNvbk_yYlwD415VhtLdU8XJYo4VzFRkShOPP0LUmk-gCb8MXEXKGMz7UEYpZWChBoVys3mMXmzGDHScVYqRaJjEHYK4A=w426-h240-k-no","false","true","id","0","-5.4400267","105.2652723","Dwi Setyawan","Kupang Kota, Kecamatan Teluk Betung Utara","en","false","ChIJAf074ADbQC4RsD-arta5YFQ","35225",,"2 minggu lalu","2025-05-18T12:56:26.075Z",,,,"Makan malam","Makan di tempat","Rp 25.000–50.000",,,,"5","5","5","ChZDSUhNMG9nS0VMTFc0WnpFdlktQU9nEAE","https://lh3.googleusercontent.com/geougc-cs/AB3l90B0iWLVT_znBMfz0qAltr_2lClXIOW8XRPVuOGV2pNlUXV_1BFDp1bMDmrwmZ1xfXQaejcIHnHqg5sCEq4hAzW_DgbVGPtfhwZshKUpSPTzwLHIlLeZucSZQOYf0cEBqZ4pAIQd","https://lh3.googleusercontent.com/geougc-cs/AB3l90APL838rWk5WllBP7Bi9TW-q7BNT56eYvaWp9q4O5lssVVPBC7jnkNKWxeevHAcJAwtx4yJNalaS2HMDC2a8F4xOqVaDi26dqF1s1AO2rQ4b_exGKPsCm-aQCEuoW5O1CBFR8hOAw","https://lh3.googleusercontent.com/geougc-cs/AB3l90AAQGNnOekFkea9ZaOVj3NGC8mAF4Q7bnBfhsFKsxg_jGIvd9NS5q67vJaMPDE-BIX-rDwQ3MEAJf8X8xuljyKfC4iFix9CLMLRzK7a8-__CrqPnTm8WUzo5RftdCC-3BC3ebj3","https://lh3.googleusercontent.com/geougc-cs/AB3l90CntrA7XNqgH-QKRQl3rRATK6GkFfh6APyxKIWcaFwR4rzX5yeaUM_ViXQaCjSDLdhG40L6-WWaE89gWTgoWDH_2bPNBR8Wh97gDtohrkWKaeLN9CCjQbxgtcmdfrYvraiGGtVtsA","https://lh3.googleusercontent.com/geougc-cs/AB3l90C5Tuy_e3gep5qNX4CY0jF9U0hdHGf_pUGr2mt6WJ3ne4OGGWYtWPcFgDD1CYLBDAnPjsEcmks--BPQfUqaQRisYLgsgqn3A00VB5AR-fFmOVNdQyk9vtU2_SgzlAEXZY1cOU_F","https://lh3.googleusercontent.com/geougc-cs/AB3l90CKx1Q6y1fVAxUSWCGZVOInC6ZvpAaYemmv5x-84qlUymACVgctQy85cCaWWfQJObRUTHAK2G5wDw-5xkKlfCjLYvzM4VEJmnDqI_TyJV7LjQ5zDiWRdn52SdO88RIfadFnVyN8","https://lh3.googleusercontent.com/geougc-cs/AB3l90DbDeo1XgWcA2tqQKq0XQuMmmqYV_V4gNRZL4bstf8CZK5Ufg0866VSwDk3fhgi2LPRBZKH2nIHz_hTWgApsv-MfVvCQ_4Np1-hdz2nZcJrI1uylePlxMPLaYqimxrduuoqnqw",,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VMTFc0WnpFdlktQU9nEAE!2m1!1s0x0:0x5460b9d6ae9a3fb0!3m1!1s2@1:CIHM0ogKELLW4ZzEvY-AOg%7CCgsI-rGnwQYQwMqNJA%7C?hl=id","105123040923172435006","488","https://lh3.googleusercontent.com/a-/ALV-UjW8QBvPGIWwkLVC1WW-himCWPrXbAwEqItyQNQG2d9qinoeee1C=s1920-c-rp-mo-ba6-br100","https://www.google.com/maps/contrib/105123040923172435006?hl=id","710","2025-06-03T09:23:27.960Z","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Begadang%20Resto%20Convention%20Hall&query_place_id=ChIJAf074ADbQC4RsD-arta5YFQ","5","Lampung","Jl. Diponegoro No.1","false","Approved!!!!","Disetujui!!!!","Begadang Resto Convention Hall","4.7","id","https://www.google.com/maps/search/?api=1&query=Begadang%20Resto%20Convention%20Hall&query_place_id=ChIJAf074ADbQC4RsD-arta5YFQ",
"Jl. Diponegoro No.1, Kupang Kota, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35225, Indonesia","Restoran Padang","Restoran Padang","6080063828653653936","Kota Bandar Lampung","ID","0x2e40db00e03bfd01:0x5460b9d6ae9a3fb0","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noS-_mhjZeORXW6iMjTLcZWv2C4mkII857cED7can2tlVbNvbk_yYlwD415VhtLdU8XJYo4VzFRkShOPP0LUmk-gCb8MXEXKGMz7UEYpZWChBoVys3mMXmzGDHScVYqRaJjEHYK4A=w426-h240-k-no","false","false","id","0","-5.4400267","105.2652723","Ahmad Nurkholik","Kupang Kota, Kecamatan Teluk Betung Utara",,"false","ChIJAf074ADbQC4RsD-arta5YFQ","35225",,"2 minggu lalu","2025-05-13T09:31:15.332Z",,,,,,,,,,,,,"ChdDSUhNMG9nS0VQbTAyLWZJb0ppOXVBRRAB",,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VQbTAyLWZJb0ppOXVBRRAB!2m1!1s0x0:0x5460b9d6ae9a3fb0!3m1!1s2@1:CIHM0ogKEPm02-fIoJi9uAE%7CCgwI46KMwQYQ4MrKngE%7C?hl=id","109858282428555653499","4","https://lh3.googleusercontent.com/a-/ALV-UjUvUKtaqjBfU05XCIX7iMmBdg8XS7vHv2F4WeL9IKTF0Bekgw1D=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/109858282428555653499?hl=id","710","2025-06-03T09:23:27.960Z","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Begadang%20Resto%20Convention%20Hall&query_place_id=ChIJAf074ADbQC4RsD-arta5YFQ","4","Lampung","Jl. Diponegoro No.1","false",,,"Begadang Resto Convention Hall","4.7",,"https://www.google.com/maps/search/?api=1&query=Begadang%20Resto%20Convention%20Hall&query_place_id=ChIJAf074ADbQC4RsD-arta5YFQ",
"Jl. Diponegoro No.1, Kupang Kota, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35225, Indonesia","Restoran Padang","Restoran Padang","6080063828653653936","Kota Bandar Lampung","ID","0x2e40db00e03bfd01:0x5460b9d6ae9a3fb0","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noS-_mhjZeORXW6iMjTLcZWv2C4mkII857cED7can2tlVbNvbk_yYlwD415VhtLdU8XJYo4VzFRkShOPP0LUmk-gCb8MXEXKGMz7UEYpZWChBoVys3mMXmzGDHScVYqRaJjEHYK4A=w426-h240-k-no","false","true","id","0","-5.4400267","105.2652723","Kefin","Kupang Kota, Kecamatan Teluk Betung Utara","en","false","ChIJAf074ADbQC4RsD-arta5YFQ","35225",,"3 minggu lalu","2025-05-13T06:48:35.437Z",,,,"Makan siang",,"Rp 75.000–100.000",,,,"4","4","4","ChdDSUhNMG9nS0VNeVByZm1TbXRQYXRBRRAB",,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VNeVByZm1TbXRQYXRBRRAB!2m1!1s0x0:0x5460b9d6ae9a3fb0!3m1!1s2@1:CIHM0ogKEMyPrfmSmtPatAE%7CCgwIw9aLwQYQ6Mzn0AE%7C?hl=id","111631281842911231775","76","https://lh3.googleusercontent.com/a-/ALV-UjW92ORE4T_lu68-7R9LKD79PRpzMDG85KgaJibkJTprHHg5fxv7=s1920-c-rp-mo-ba4-br100","https://www.google.com/maps/contrib/111631281842911231775?hl=id","710","2025-06-03T09:23:27.960Z","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Begadang%20Resto%20Convention%20Hall&query_place_id=ChIJAf074ADbQC4RsD-arta5YFQ","4","Lampung","Jl. Diponegoro No.1","false","Tasty food!","Makanan lezat!","Begadang Resto Convention Hall","4.7","id","https://www.google.com/maps/search/?api=1&query=Begadang%20Resto%20Convention%20Hall&query_place_id=ChIJAf074ADbQC4RsD-arta5YFQ",
"Jl. Diponegoro No.1, Kupang Kota, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35225, Indonesia","Restoran Padang","Restoran Padang","6080063828653653936","Kota Bandar Lampung","ID","0x2e40db00e03bfd01:0x5460b9d6ae9a3fb0","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noS-_mhjZeORXW6iMjTLcZWv2C4mkII857cED7can2tlVbNvbk_yYlwD415VhtLdU8XJYo4VzFRkShOPP0LUmk-gCb8MXEXKGMz7UEYpZWChBoVys3mMXmzGDHScVYqRaJjEHYK4A=w426-h240-k-no","false","false","id","0","-5.4400267","105.2652723","junaidi asnik","Kupang Kota, Kecamatan Teluk Betung Utara",,"false","ChIJAf074ADbQC4RsD-arta5YFQ","35225",,"3 minggu lalu","2025-05-11T23:48:43.612Z",,,,,"Makan di tempat",,,,,"5","5","5","ChZDSUhNMG9nS0VPQ3A2T3pmcHRMS0p3EAE",,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VPQ3A2T3pmcHRMS0p3EAE!2m1!1s0x0:0x5460b9d6ae9a3fb0!3m1!1s2@1:CIHM0ogKEOCp6OzfptLKJw%7CCgwI2-6EwQYQqL2CpAI%7C?hl=id","114198605216554403687","8","https://lh3.googleusercontent.com/a-/ALV-UjUrKBX6U1u3BO4C2tDp0EJaAwqtQozDfcovNU4l0ABW4aKZqSxd6Q=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/114198605216554403687?hl=id","710","2025-06-03T09:23:27.960Z","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Begadang%20Resto%20Convention%20Hall&query_place_id=ChIJAf074ADbQC4RsD-arta5YFQ","5","Lampung","Jl. Diponegoro No.1","false",,,"Begadang Resto Convention Hall","4.7",,"https://www.google.com/maps/search/?api=1&query=Begadang%20Resto%20Convention%20Hall&query_place_id=ChIJAf074ADbQC4RsD-arta5YFQ",
"Jl. Diponegoro No.1, Kupang Kota, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35225, Indonesia","Restoran Padang","Restoran Padang","6080063828653653936","Kota Bandar Lampung","ID","0x2e40db00e03bfd01:0x5460b9d6ae9a3fb0","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noS-_mhjZeORXW6iMjTLcZWv2C4mkII857cED7can2tlVbNvbk_yYlwD415VhtLdU8XJYo4VzFRkShOPP0LUmk-gCb8MXEXKGMz7UEYpZWChBoVys3mMXmzGDHScVYqRaJjEHYK4A=w426-h240-k-no","false","true","id","0","-5.4400267","105.2652723","Dika Hartanta","Kupang Kota, Kecamatan Teluk Betung Utara","id","false","ChIJAf074ADbQC4RsD-arta5YFQ","35225",,"3 minggu lalu","2025-05-10T17:29:09.172Z",,,,,"Makan di tempat","Rp 50.000–75.000","Tidak yakin","Tenang, mudah untuk bicara","Tidak menunggu","5","5","5","ChdDSUhNMG9nS0VJVHgySnFHN19iRGdRRRAB",,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJVHgySnFHN19iRGdRRRAB!2m1!1s0x0:0x5460b9d6ae9a3fb0!3m1!1s2@1:CIHM0ogKEITx2JqG7_bDgQE%7CCgsI5Zn-wAYQiM2hUg%7C?hl=id","110789391697357244957","785","https://lh3.googleusercontent.com/a-/ALV-UjUmJbS5MWwWb78zj7eXsGLO2SWRhJXU4b6bKgjlv-XpVQrNR2O2=s1920-c-rp-mo-ba6-br100","https://www.google.com/maps/contrib/110789391697357244957?hl=id","710","2025-06-03T09:23:27.960Z","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Begadang%20Resto%20Convention%20Hall&query_place_id=ChIJAf074ADbQC4RsD-arta5YFQ","5","Lampung","Jl. Diponegoro No.1","false","Ayam gorengnya enak",,"Begadang Resto Convention Hall","4.7",,"https://www.google.com/maps/search/?api=1&query=Begadang%20Resto%20Convention%20Hall&query_place_id=ChIJAf074ADbQC4RsD-arta5YFQ",
"Jl. Diponegoro No.1, Kupang Kota, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35225, Indonesia","Restoran Padang","Restoran Padang","6080063828653653936","Kota Bandar Lampung","ID","0x2e40db00e03bfd01:0x5460b9d6ae9a3fb0","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noS-_mhjZeORXW6iMjTLcZWv2C4mkII857cED7can2tlVbNvbk_yYlwD415VhtLdU8XJYo4VzFRkShOPP0LUmk-gCb8MXEXKGMz7UEYpZWChBoVys3mMXmzGDHScVYqRaJjEHYK4A=w426-h240-k-no","false","true","id","0","-5.4400267","105.2652723","Arif Munandar","Kupang Kota, Kecamatan Teluk Betung Utara","id","false","ChIJAf074ADbQC4RsD-arta5YFQ","35225",,"3 minggu lalu","2025-05-10T13:31:00.653Z",,,,,,,,,,"4","5","3","ChZDSUhNMG9nS0VPYTQ2S0dPeXBiQWVBEAE",,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VPYTQ2S0dPeXBiQWVBEAE!2m1!1s0x0:0x5460b9d6ae9a3fb0!3m1!1s2@1:CIHM0ogKEOa46KGOypbAeA%7CCgwIlKr9wAYQsLfVtwI%7C?hl=id","109292844214143288336","76","https://lh3.googleusercontent.com/a-/ALV-UjUQiCUgwOGv40_XiHdSKViuUoXe0QwLCNDzoiFQ8OkYFx8jpBMA=s1920-c-rp-mo-ba4-br100","https://www.google.com/maps/contrib/109292844214143288336?hl=id","710","2025-06-03T09:23:27.960Z","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Begadang%20Resto%20Convention%20Hall&query_place_id=ChIJAf074ADbQC4RsD-arta5YFQ","5","Lampung","Jl. Diponegoro No.1","false","Josss ayam goreng nya...suasana nya rame hehehe",,"Begadang Resto Convention Hall","4.7",,"https://www.google.com/maps/search/?api=1&query=Begadang%20Resto%20Convention%20Hall&query_place_id=ChIJAf074ADbQC4RsD-arta5YFQ",
"Jl. Diponegoro No.1, Kupang Kota, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35225, Indonesia","Restoran Padang","Restoran Padang","6080063828653653936","Kota Bandar Lampung","ID","0x2e40db00e03bfd01:0x5460b9d6ae9a3fb0","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noS-_mhjZeORXW6iMjTLcZWv2C4mkII857cED7can2tlVbNvbk_yYlwD415VhtLdU8XJYo4VzFRkShOPP0LUmk-gCb8MXEXKGMz7UEYpZWChBoVys3mMXmzGDHScVYqRaJjEHYK4A=w426-h240-k-no","false","true","id","0","-5.4400267","105.2652723","Sonny Lijaya","Kupang Kota, Kecamatan Teluk Betung Utara",,"false","ChIJAf074ADbQC4RsD-arta5YFQ","35225",,"sebulan lalu","2025-04-29T12:16:51.703Z",,,,,,,,,,,,,"ChZDSUhNMG9nS0VJQ0FnTURvaDRtbGVnEAE",,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTURvaDRtbGVnEAE!2m1!1s0x0:0x5460b9d6ae9a3fb0!3m1!1s2@1:CIHM0ogKEICAgMDoh4mleg%7CCgwIs4bDwAYQuJXPzwI%7C?hl=id","115469639688754254647","2","https://lh3.googleusercontent.com/a/ACg8ocK6xh1ZRdlu9QyYv1Awi3Z7DV_9Xhr0m1URvxXrXtHKIs-dgQ=s1920-c-rp-mo-ba2-br100","https://www.google.com/maps/contrib/115469639688754254647?hl=id","710","2025-06-03T09:23:27.960Z","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Begadang%20Resto%20Convention%20Hall&query_place_id=ChIJAf074ADbQC4RsD-arta5YFQ","5","Lampung","Jl. Diponegoro No.1","false",,,"Begadang Resto Convention Hall","4.7",,"https://www.google.com/maps/search/?api=1&query=Begadang%20Resto%20Convention%20Hall&query_place_id=ChIJAf074ADbQC4RsD-arta5YFQ",
