"address","categories/0","categoryName","cid","city","countryCode","fid","imageUrl","isAdvertisement","isLocalGuide","language","likesCount","location/lat","location/lng","name","neighborhood","originalLanguage","permanentlyClosed","placeId","postalCode","price","publishAt","publishedAtDate","rating","responseFromOwnerDate","responseFromOwnerText","reviewContext/Jenis makanan","reviewContext/Layanan","reviewContext/Tarif per orang","reviewContext/Tempat parkir","reviewContext/Tingkat kebisingan","reviewContext/Waktu tunggu","reviewDetailedRating/Layanan","reviewDetailedRating/Makanan","reviewDetailedRating/Suasana","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewImageUrls/9","reviewImageUrls/10","reviewImageUrls/11","reviewImageUrls/12","reviewImageUrls/13","reviewImageUrls/14","reviewImageUrls/15","reviewImageUrls/16","reviewImageUrls/17","reviewImageUrls/18","reviewImageUrls/19","reviewImageUrls/20","reviewImageUrls/21","reviewImageUrls/22","reviewImageUrls/23","reviewImageUrls/24","reviewImageUrls/25","reviewImageUrls/26","reviewImageUrls/27","reviewImageUrls/28","reviewImageUrls/29","reviewOrigin","reviewUrl","reviewerId","reviewerNumberOfReviews","reviewerPhotoUrl","reviewerUrl","reviewsCount","scrapedAt","searchString","stars","state","street","temporarilyClosed","text","textTranslated","title","totalScore","translatedLanguage","url","visitedIn"
"Jalan Dokter Susilo No.25, Sumur Batu, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35212, Indonesia","Restoran","Restoran","106676114636784304","Kota Bandar Lampung","ID","0x2e40db802783664f:0x17afd5c6ef1c2b0","https://lh3.googleusercontent.com/p/AF1QipP_sCtSPZqgVbGJjZD60gU98tvf97RUIsJmKLMK=w426-h240-k-no","false","false","id","0","-5.4291752","105.2643789","Febriani Noer","Sumur Batu, Kecamatan Teluk Betung Utara","id","false","ChIJT2aDJ4DbQC4RsMLxblz9egE","35212",,"3 jam lalu","2025-06-03T05:31:32.201Z",,,,,,,,,,"5","5","5","ChZDSUhNMG9nS0VOUEt2TUdBbHEzaWNREAE","https://lh3.googleusercontent.com/geougc-cs/AB3l90AWCFdC-BwgmcOFUC2nGQp7qmSDGmdu5Mo4T65SFSO7kTCego8tN3M8EP23i1d1AaEnAhC87KmyvjbkUhMS_8amtjHkIJMRMLZomDeffaUvljOd8dJy7PjxM9kB097Ez_uykQc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VOUEt2TUdBbHEzaWNREAE!2m1!1s0x0:0x17afd5c6ef1c2b0!3m1!1s2@1:CIHM0ogKENPKvMGAlq3icQ%7CCgsItJH6wQYQuK2mYA%7C?hl=id","106109745187517425409","0","https://lh3.googleusercontent.com/a/ACg8ocILv5Nsq1i6orYw3EjidMfsUi59rMj5os552ss4tcsrHXIYKg=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/106109745187517425409?hl=id","288","2025-06-03T09:25:03.364Z","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Sambel%20Alu%20Susilo&query_place_id=ChIJT2aDJ4DbQC4RsMLxblz9egE","5","Lampung","Jalan Dokter Susilo No.25","false","Recomendid,,,ayam, ikan semuanya uenaaaak,,,👍",,"Sambel Alu Susilo","4.7",,"https://www.google.com/maps/search/?api=1&query=Sambel%20Alu%20Susilo&query_place_id=ChIJT2aDJ4DbQC4RsMLxblz9egE",
"Jalan Dokter Susilo No.25, Sumur Batu, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35212, Indonesia","Restoran","Restoran","106676114636784304","Kota Bandar Lampung","ID","0x2e40db802783664f:0x17afd5c6ef1c2b0","https://lh3.googleusercontent.com/p/AF1QipP_sCtSPZqgVbGJjZD60gU98tvf97RUIsJmKLMK=w426-h240-k-no","false","false","id","0","-5.4291752","105.2643789","Dwi Ermawati","Sumur Batu, Kecamatan Teluk Betung Utara",,"false","ChIJT2aDJ4DbQC4RsMLxblz9egE","35212",,"4 jam lalu","2025-06-03T05:22:22.092Z",,,,,,,,,,"5","5","5","ChZDSUhNMG9nS0VMdlkySWJrMGFPTVl3EAE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VMdlkySWJrMGFPTVl3EAE!2m1!1s0x0:0x17afd5c6ef1c2b0!3m1!1s2@1:CIHM0ogKELvY2Ibk0aOMYw%7CCgsIjo36wQYQ8LmfLA%7C?hl=id","101575475119407541112","0","https://lh3.googleusercontent.com/a/ACg8ocL7-PCBcAfSWoA9ohHF9lmWbrCjcOhmQlirW7B8oJ3u_oe_rA=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/101575475119407541112?hl=id","288","2025-06-03T09:25:03.364Z","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Sambel%20Alu%20Susilo&query_place_id=ChIJT2aDJ4DbQC4RsMLxblz9egE","5","Lampung","Jalan Dokter Susilo No.25","false",,,"Sambel Alu Susilo","4.7",,"https://www.google.com/maps/search/?api=1&query=Sambel%20Alu%20Susilo&query_place_id=ChIJT2aDJ4DbQC4RsMLxblz9egE",
"Jalan Dokter Susilo No.25, Sumur Batu, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35212, Indonesia","Restoran","Restoran","106676114636784304","Kota Bandar Lampung","ID","0x2e40db802783664f:0x17afd5c6ef1c2b0","https://lh3.googleusercontent.com/p/AF1QipP_sCtSPZqgVbGJjZD60gU98tvf97RUIsJmKLMK=w426-h240-k-no","false","false","id","0","-5.4291752","105.2643789","ahmad fatoni","Sumur Batu, Kecamatan Teluk Betung Utara","id","false","ChIJT2aDJ4DbQC4RsMLxblz9egE","35212",,"22 jam lalu","2025-06-02T11:11:20.943Z",,"2025-06-02T13:12:05.000Z","Alhamdulillah🤲
Terimakasih kak ahmad fatoni, semoga bisa jadi makanan favorit kak dan keluarga yaa🥰
Mimin tunggu kedatangan selanjutnya kak untuk menikmati sensasi makan sambel sepuasnya💕","Lainnya","Makan di tempat",,,,"Maks 10 menit","5","5","5","ChZDSUhNMG9nS0VKcm41N2lheHIyLU1REAE","https://lh3.googleusercontent.com/geougc-cs/AB3l90DD5uNiz8ZukULmuoJwpyoTCrg22QL7ui9GW85T61pTeCD8qd9y7uQ_zXPGQ-aeXN3ItdoUq1Pwij2q6cKZZpaNStttq0Sihmmwr_uDqt0mGI5W9AJH-xolH8LNRkZH0VuRI1T_",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VKcm41N2lheHIyLU1REAE!2m1!1s0x0:0x17afd5c6ef1c2b0!3m1!1s2@1:CIHM0ogKEJrn57iaxr2-MQ%7CCgwI2I32wQYQ4LT9wQM%7C?hl=id","113720712832607952827","1","https://lh3.googleusercontent.com/a/ACg8ocIow_XAqeB_TkeG8c1eYDMO_N8TsUqH-YIwc9t6m4EJNoRwHQ=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/113720712832607952827?hl=id","288","2025-06-03T09:25:03.364Z","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Sambel%20Alu%20Susilo&query_place_id=ChIJT2aDJ4DbQC4RsMLxblz9egE","5","Lampung","Jalan Dokter Susilo No.25","false","Untuk tempat nya enak nyaman ,Dan tetep sambel nya sambel alu JUARA mantep pedes nya",,"Sambel Alu Susilo","4.7",,"https://www.google.com/maps/search/?api=1&query=Sambel%20Alu%20Susilo&query_place_id=ChIJT2aDJ4DbQC4RsMLxblz9egE",
"Jalan Dokter Susilo No.25, Sumur Batu, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35212, Indonesia","Restoran","Restoran","106676114636784304","Kota Bandar Lampung","ID","0x2e40db802783664f:0x17afd5c6ef1c2b0","https://lh3.googleusercontent.com/p/AF1QipP_sCtSPZqgVbGJjZD60gU98tvf97RUIsJmKLMK=w426-h240-k-no","false","false","id","0","-5.4291752","105.2643789","Ani Herliana","Sumur Batu, Kecamatan Teluk Betung Utara","id","false","ChIJT2aDJ4DbQC4RsMLxblz9egE","35212",,"1 hari lalu","2025-06-02T08:56:59.973Z",,"2025-06-02T13:13:41.000Z","Terimakasih banyak kak Ani Herliana🥰
Semoga bisa jadi makanan favorit kakak ya, Alu Cinta Padamu🤍",,,,,,,,,,"ChdDSUhNMG9nS0VOZlRoNldFekpXVDlRRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VOZlRoNldFekpXVDlRRRAB!2m1!1s0x0:0x17afd5c6ef1c2b0!3m1!1s2@1:CIHM0ogKENfTh6WEzJWT9QE%7CCgwI2871wQYQyMCl0AM%7C?hl=id","112140272981531574441","0","https://lh3.googleusercontent.com/a/ACg8ocIYBq3CH3sRM4pvWn-i4OAYje4J4A0K8zQ-sbI0pHa4R6Knmg=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/112140272981531574441?hl=id","288","2025-06-03T09:25:03.364Z","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Sambel%20Alu%20Susilo&query_place_id=ChIJT2aDJ4DbQC4RsMLxblz9egE","5","Lampung","Jalan Dokter Susilo No.25","false","Bagus",,"Sambel Alu Susilo","4.7",,"https://www.google.com/maps/search/?api=1&query=Sambel%20Alu%20Susilo&query_place_id=ChIJT2aDJ4DbQC4RsMLxblz9egE",
"Jalan Dokter Susilo No.25, Sumur Batu, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35212, Indonesia","Restoran","Restoran","106676114636784304","Kota Bandar Lampung","ID","0x2e40db802783664f:0x17afd5c6ef1c2b0","https://lh3.googleusercontent.com/p/AF1QipP_sCtSPZqgVbGJjZD60gU98tvf97RUIsJmKLMK=w426-h240-k-no","false","false","id","0","-5.4291752","105.2643789","Laskar Jawara","Sumur Batu, Kecamatan Teluk Betung Utara","id","false","ChIJT2aDJ4DbQC4RsMLxblz9egE","35212",,"1 hari lalu","2025-06-02T08:43:39.498Z",,"2025-06-02T13:13:11.000Z","Terimakasih banyak kak Laskar Jawara🥰
Semoga bisa jadi makanan favorit kakak ya, Alu Cinta Padamu🤍",,,,,,,"5","5","5","ChdDSUhNMG9nS0VOaVY1TnZPanRIN25BRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VOaVY1TnZPanRIN25BRRAB!2m1!1s0x0:0x17afd5c6ef1c2b0!3m1!1s2@1:CIHM0ogKENiV5NvOjtH7nAE%7CCgwIu8j1wQYQgPzR7QE%7C?hl=id","106503049560082744856","1","https://lh3.googleusercontent.com/a/ACg8ocLfkwxCwo8n4dmvisJ0C6s3_EMCixMEjicRf0PJk8VPLDrbRA=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/106503049560082744856?hl=id","288","2025-06-03T09:25:03.364Z","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Sambel%20Alu%20Susilo&query_place_id=ChIJT2aDJ4DbQC4RsMLxblz9egE","5","Lampung","Jalan Dokter Susilo No.25","false","Enak rekomen",,"Sambel Alu Susilo","4.7",,"https://www.google.com/maps/search/?api=1&query=Sambel%20Alu%20Susilo&query_place_id=ChIJT2aDJ4DbQC4RsMLxblz9egE",
"Jalan Dokter Susilo No.25, Sumur Batu, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35212, Indonesia","Restoran","Restoran","106676114636784304","Kota Bandar Lampung","ID","0x2e40db802783664f:0x17afd5c6ef1c2b0","https://lh3.googleusercontent.com/p/AF1QipP_sCtSPZqgVbGJjZD60gU98tvf97RUIsJmKLMK=w426-h240-k-no","false","false","id","0","-5.4291752","105.2643789","Chelsea Zahira F","Sumur Batu, Kecamatan Teluk Betung Utara","id","false","ChIJT2aDJ4DbQC4RsMLxblz9egE","35212",,"2 hari lalu","2025-06-01T03:38:07.204Z",,"2025-06-01T13:12:30.000Z","Terimakasih banyak kak Chelsea Zahira F🥰
Semoga bisa jadi makanan favorit kakak ya, Alu Cinta Padamu🤍",,,,,,,"5","5","5","ChdDSUhNMG9nS0VLaTd3dkdDa1pLUTFnRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VLaTd3dkdDa1pLUTFnRRAB!2m1!1s0x0:0x17afd5c6ef1c2b0!3m1!1s2@1:CIHM0ogKEKi7wvGCkZKQ1gE%7CCgsIn5bvwQYQgJLOYQ%7C?hl=id","115268380731258007060","0","https://lh3.googleusercontent.com/a-/ALV-UjX8ixI7Vf_t73TGkJOgPFdt77XzYr0vr12qx5xk7atLP1S_ZqW5=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/115268380731258007060?hl=id","288","2025-06-03T09:25:03.364Z","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Sambel%20Alu%20Susilo&query_place_id=ChIJT2aDJ4DbQC4RsMLxblz9egE","5","Lampung","Jalan Dokter Susilo No.25","false","mantepp enakkk bangettt",,"Sambel Alu Susilo","4.7",,"https://www.google.com/maps/search/?api=1&query=Sambel%20Alu%20Susilo&query_place_id=ChIJT2aDJ4DbQC4RsMLxblz9egE",
"Jalan Dokter Susilo No.25, Sumur Batu, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35212, Indonesia","Restoran","Restoran","106676114636784304","Kota Bandar Lampung","ID","0x2e40db802783664f:0x17afd5c6ef1c2b0","https://lh3.googleusercontent.com/p/AF1QipP_sCtSPZqgVbGJjZD60gU98tvf97RUIsJmKLMK=w426-h240-k-no","false","false","id","0","-5.4291752","105.2643789","Alyssa Putri Hermawan","Sumur Batu, Kecamatan Teluk Betung Utara","id","false","ChIJT2aDJ4DbQC4RsMLxblz9egE","35212",,"2 hari lalu","2025-06-01T02:56:12.611Z",,"2025-06-01T13:12:02.000Z","Terimakasih banyak kak Alyssa Putri Hermawan🥰
Semoga bisa jadi makanan favorit kakak ya, Alu Cinta Padamu🤍","Sarapan siang","Bawa pulang",,,,,,,,"ChZDSUhNMG9nS0VLSGU2cHZjdnZ6c0NBEAE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VLSGU2cHZjdnZ6c0NBEAE!2m1!1s0x0:0x17afd5c6ef1c2b0!3m1!1s2@1:CIHM0ogKEKHe6pvcvvzsCA%7CCgwIzILvwQYQiJ_YowI%7C?hl=id","103360498594823835888","0","https://lh3.googleusercontent.com/a-/ALV-UjVQDVlK3J2iPYaI7KQPLryQfcti78ddSZ_Pdbyo1kOToOH9J2k=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/103360498594823835888?hl=id","288","2025-06-03T09:25:03.364Z","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Sambel%20Alu%20Susilo&query_place_id=ChIJT2aDJ4DbQC4RsMLxblz9egE","5","Lampung","Jalan Dokter Susilo No.25","false","sukaaa banget",,"Sambel Alu Susilo","4.7",,"https://www.google.com/maps/search/?api=1&query=Sambel%20Alu%20Susilo&query_place_id=ChIJT2aDJ4DbQC4RsMLxblz9egE",
"Jalan Dokter Susilo No.25, Sumur Batu, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35212, Indonesia","Restoran","Restoran","106676114636784304","Kota Bandar Lampung","ID","0x2e40db802783664f:0x17afd5c6ef1c2b0","https://lh3.googleusercontent.com/p/AF1QipP_sCtSPZqgVbGJjZD60gU98tvf97RUIsJmKLMK=w426-h240-k-no","false","false","id","0","-5.4291752","105.2643789","Mulando Saputra","Sumur Batu, Kecamatan Teluk Betung Utara","id","false","ChIJT2aDJ4DbQC4RsMLxblz9egE","35212",,"3 hari lalu","2025-05-31T03:27:07.332Z",,"2025-06-01T13:20:01.000Z","Terimakasih kak Mulando Saputra🥰
Semoga bisa jadi makanan favorit kakak dan keluarga ya, mimin tunggu kedatangan selanjutnya untuk menikmati sensasi makan sambel sepuasnya kak🥰",,,,,,,"5","5","5","ChdDSUhNMG9nS0VKVG41cE9RLV9TdTl3RRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VKVG41cE9RLV9TdTl3RRAB!2m1!1s0x0:0x17afd5c6ef1c2b0!3m1!1s2@1:CIHM0ogKEJTn5pOQ-_Su9wE%7CCgwIi-7pwQYQiOiungE%7C?hl=id","109472985771360368805","3","https://lh3.googleusercontent.com/a-/ALV-UjWuuC_F5JUHXpECjvb_2Skc5S-G2rgnkx4lxtqySSZhQ3C8bFf5JQ=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/109472985771360368805?hl=id","288","2025-06-03T09:25:03.364Z","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Sambel%20Alu%20Susilo&query_place_id=ChIJT2aDJ4DbQC4RsMLxblz9egE","5","Lampung","Jalan Dokter Susilo No.25","false","Makanya enak, pelayanannya cepat,Dan suasannya benerann enak buat nyantai",,"Sambel Alu Susilo","4.7",,"https://www.google.com/maps/search/?api=1&query=Sambel%20Alu%20Susilo&query_place_id=ChIJT2aDJ4DbQC4RsMLxblz9egE",
"Jalan Dokter Susilo No.25, Sumur Batu, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35212, Indonesia","Restoran","Restoran","106676114636784304","Kota Bandar Lampung","ID","0x2e40db802783664f:0x17afd5c6ef1c2b0","https://lh3.googleusercontent.com/p/AF1QipP_sCtSPZqgVbGJjZD60gU98tvf97RUIsJmKLMK=w426-h240-k-no","false","false","id","0","-5.4291752","105.2643789","raditya El","Sumur Batu, Kecamatan Teluk Betung Utara",,"false","ChIJT2aDJ4DbQC4RsMLxblz9egE","35212",,"3 hari lalu","2025-05-31T03:15:25.189Z",,"2025-06-01T13:11:28.000Z","Terimakasih banyak kak raditya El🥰
Semoga bisa jadi makanan favorit kakak ya, Alu Cinta Padamu🤍",,,,,,,"5","5","5","ChZDSUhNMG9nS0VJcW13ZG1CeHZLM05BEAE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJcW13ZG1CeHZLM05BEAE!2m1!1s0x0:0x17afd5c6ef1c2b0!3m1!1s2@1:CIHM0ogKEIqmwdmBxvK3NA%7CCgsIzejpwQYQ2K7CWg%7C?hl=id","105466422000334655414","10","https://lh3.googleusercontent.com/a-/ALV-UjV3gYDQdC_hA8jzguavtpCntHZiUCYxi4kqZWAazMXDv0X42DKp=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/105466422000334655414?hl=id","288","2025-06-03T09:25:03.364Z","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Sambel%20Alu%20Susilo&query_place_id=ChIJT2aDJ4DbQC4RsMLxblz9egE","5","Lampung","Jalan Dokter Susilo No.25","false",,,"Sambel Alu Susilo","4.7",,"https://www.google.com/maps/search/?api=1&query=Sambel%20Alu%20Susilo&query_place_id=ChIJT2aDJ4DbQC4RsMLxblz9egE",
"Jalan Dokter Susilo No.25, Sumur Batu, Kec. Tlk. Betung Utara, Kota Bandar Lampung, Lampung 35212, Indonesia","Restoran","Restoran","106676114636784304","Kota Bandar Lampung","ID","0x2e40db802783664f:0x17afd5c6ef1c2b0","https://lh3.googleusercontent.com/p/AF1QipP_sCtSPZqgVbGJjZD60gU98tvf97RUIsJmKLMK=w426-h240-k-no","false","false","id","0","-5.4291752","105.2643789","Tiwi MD","Sumur Batu, Kecamatan Teluk Betung Utara","id","false","ChIJT2aDJ4DbQC4RsMLxblz9egE","35212",,"3 hari lalu","2025-05-31T00:18:40.706Z",,"2025-06-01T13:13:03.000Z","Terimakasih banyak kak Tiwi MD🥰
Semoga bisa jadi makanan favorit kakak ya, Alu Cinta Padamu🤍","Sarapan siang","Bawa pulang","Rp 25.000–50.000",,,,,,,"ChZDSUhNMG9nS0VNVEY3SU9ja0pTZ2N3EAE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VNVEY3SU9ja0pTZ2N3EAE!2m1!1s0x0:0x17afd5c6ef1c2b0!3m1!1s2@1:CIHM0ogKEMTF7IOckJSgcw%7CCgwI4JXpwQYQ6PL70AI%7C?hl=id","102172785991927714108","5","https://lh3.googleusercontent.com/a-/ALV-UjU3BT0VDk7zJMFXwp18lop2-rAyJGI28WXjbHzMNj4NxtV5FkI=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/102172785991927714108?hl=id","288","2025-06-03T09:25:03.364Z","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=Sambel%20Alu%20Susilo&query_place_id=ChIJT2aDJ4DbQC4RsMLxblz9egE","5","Lampung","Jalan Dokter Susilo No.25","false","aku suka menu ayamnya",,"Sambel Alu Susilo","4.7",,"https://www.google.com/maps/search/?api=1&query=Sambel%20Alu%20Susilo&query_place_id=ChIJT2aDJ4DbQC4RsMLxblz9egE",
